date;time;channel;ministry;subject;contactReason;outcome;pageTitle;forward;forwardCode
2023-09-04;08:53;Inkomend telefoongesprek;HC;woning huren;Vraag;Beantwoord;Ik wil een woning huren. Mag mijn verhuurder een waarborgsom vragen?;;
2023-09-04;08:56;Inkomend telefoongesprek;JENV;erven;Vraag;Doorverwezen;Wie krijgt de erfenis als er geen erfgenamen bekend zijn?;;
2023-09-04;08:56;Inkomend telefoongesprek;BZK;overheidspersoneel;Vraag;Beantwoord;Waar vind ik vacatures en informatie over werken of stages bij de overheid?;;
2023-09-04;08:57;WhatsApp;BZK;gemeenten;Vraag;Doorverwezen;Hoe kan ik mijn verhuizing doorgeven aan de gemeente?;;
2023-09-04;08:58;Twitter;SZW;vakantiedagen en vakantiegeld;Vraag;Beantwoord;Op hoeveel vakantiedagen heb ik recht?;;
2023-09-04;09:00;E-mail;BUZA;vakantie en reizen;Vraag;Beantwoord;Nederlands document legaliseren met een apostille;;
2023-09-04;09:01;Inkomend telefoongesprek;VWS;medicijnen;Vraag;Doorverwezen;Wat heb ik nodig als ik mijn medicijnen meeneem op reis?;;
2023-09-04;09:04;Inkomend telefoongesprek;IENW;rijbewijs;Vraag;Beantwoord;Rijbewijs;;
2023-09-04;09:04;Inkomend telefoongesprek;BZK;privacy en persoonsgegevens;Vraag;Doorverwezen;Hoe kom ik aan een burgerservicenummer (BSN)?;;
2023-09-04;09:05;Inkomend telefoongesprek;SZW;koopkracht;Vraag;Beantwoord;Hoe vraag ik de eenmalige energietoeslag 2023 aan?;;
2023-09-04;09:07;Inkomend telefoongesprek;SZW;bijstand;Vraag;Beantwoord;Hoe wordt de hoogte van mijn bijstandsuitkering berekend?;;
2023-09-04;09:07;Inkomend telefoongesprek;JENV;straffen en maatregelen;Vraag;Doorverwezen;Welke rechten heb ik als ik in de gevangenis zit?;;
2023-09-04;09:08;WhatsApp;IENW;voertuigen op de weg;Vraag;Beantwoord;Regels voor elektrische steps (e-steps) met trapondersteuning;;
2023-09-04;09:09;Inkomend telefoongesprek;SZW;inburgeren in nederland;Vraag;Doorverwezen;Inburgeren in Nederland;;
2023-09-04;09:09;Inkomend telefoongesprek;BZK;paspoort en identiteitskaart;Vraag;Geen actie;Kan ik een 2e Nederlands paspoort aanvragen?;;
2023-09-04;09:11;Inkomend telefoongesprek;JENV;ouderlijk gezag en voogdij;Vraag;Doorverwezen;Wanneer stopt het ouderlijk gezag over een kind?;;
2023-09-04;09:11;Inkomend telefoongesprek;JENV;nederlandse nationaliteit;Vraag;Beantwoord;Nederlander worden;;
2023-09-04;09:12;E-mail;VWS;medicijnen;Vraag;Beantwoord;Wat betaal ik voor medicijnen op recept?;;
2023-09-04;09:13;Inkomend telefoongesprek;LNV;vakantie en reizen;Vraag;Beantwoord;Europees huisdierenpaspoort aanvragen;;
2023-09-04;09:15;Inkomend telefoongesprek;BZK;democratie;Vraag;Doorverwezen;Petitie indienen;;
2023-09-04;09:15;Inkomend telefoongesprek;OCW;leerplicht;Vraag;Beantwoord;Leerplicht en kwalificatieplicht;;
2023-09-04;09:16;Inkomend telefoongesprek;BZK;privacy en persoonsgegevens;Vraag;Doorverwezen;Waar vraag ik een uittreksel uit het bevolkingsregister aan?;;
2023-09-04;09:17;Inkomend telefoongesprek;SZW;aow;Vraag;Doorverwezen;Wat gebeurt er met mijn uitkering als ik overlijd?;;
2023-09-04;09:17;Inkomend telefoongesprek;IENW;rijbewijs;Vraag;Beantwoord;Wat moet ik doen als mijn rijbewijs is gestolen of als ik hem heb verloren?;;
2023-09-04;09:18;Inkomend telefoongesprek;OCW;schooltijden en onderwijstijd;Vraag;Beantwoord;Overzicht aantal uren onderwijstijd;;
2023-09-04;09:20;Inkomend telefoongesprek;SZW;inburgeren in nederland;Vraag;Doorverwezen;Wet inburgering 2021;;
2023-09-04;09:20;Inkomend telefoongesprek;BZK;privacy en persoonsgegevens;Vraag;Doorverwezen;Hoe kom ik aan een burgerservicenummer (BSN)?;;
2023-09-04;09:21;E-mail;FIN;belasting betalen;Mening;Doorgestuurd;Belasting betalen;het Ministerie van Financiën;FIN
2023-09-04;09:24;Inkomend telefoongesprek;BZK;woning huren;Vraag;Beantwoord;Recht op huurtoeslag voor meer huurders met lage inkomens;;
2023-09-04;09:24;Inkomend telefoongesprek;BZK;gemeenten;Vraag;Doorverwezen;Hoe kan ik mijn verhuizing doorgeven aan de gemeente?;;
2023-09-04;09:25;Inkomend telefoongesprek;VWS;-;Vraag;Doorverwezen;CAK;;
2023-09-04;09:26;Inkomend telefoongesprek;OCW;basisonderwijs;Vraag;Doorverwezen;Wanneer moet ik mijn kind aanmelden op de basisschool?;;
2023-09-04;09:27;Inkomend telefoongesprek;DEF;krijgsmacht;Vraag;Doorverwezen;DienstenCentrum Human Resources (DC HR);;
2023-09-04;09:28;Inkomend telefoongesprek;SZW;immigratie naar nederland;Vraag;Doorverwezen;Moet ik als nieuwkomer inburgeren?;;
2023-09-04;09:28;Inkomend telefoongesprek;BZK;woning verhuren;Vraag;Doorverwezen;Wat moet ik regelen als ik mijn woning wil verhuren?;;
2023-09-04;09:30;Inkomend telefoongesprek;VWS;medicijnen;Vraag;Doorverwezen;Wat heb ik nodig als ik mijn medicijnen meeneem op reis?;;
2023-09-04;09:31;E-mail;SZW;pensioen;Vraag;Doorgestuurd;Betere pensioenafspraken voor vervroegd stoppen met werken voor mensen met zwaar werk;het Ministerie van Sociale Zaken en Werkgelegenheid;SZW
2023-09-04;09:31;WhatsApp;JENV;immigratie naar nederland;Vraag;Beantwoord;Naar Nederland komen voor partner: wat moet ik regelen?;;
2023-09-04;09:32;Inkomend telefoongesprek;VWS;coronavirus covid-19;Vraag;Doorverwezen;Hoe gaat Nederland om met het coronavirus;;
2023-09-04;09:34;Inkomend telefoongesprek;DUO;immigratie naar nederland;Vraag;Beantwoord;Moet ik al met mijn inburgering beginnen in het land van herkomst?;;
2023-09-04;09:35;Inkomend telefoongesprek;JENV;politie;Vraag;Doorverwezen;Klacht indienen over de politie;;
2023-09-04;09:35;Inkomend telefoongesprek;IENW;rijbewijs;Vraag;Doorverwezen;Welk rijbewijs heb ik nodig om met een aanhanger, oplegger of caravan achter mijn auto te rijden?;;
2023-09-04;09:36;Inkomend telefoongesprek;JENV;arbeidsovereenkomst en cao;Vraag;Beantwoord;Hoe vraag ik een Verklaring Omtrent het Gedrag (VOG) aan?;;
2023-09-04;09:36;Inkomend telefoongesprek;SZW;buitenlandse werknemers;Vraag;Doorgestuurd;Arbeidsvoorwaarden gedetacheerde werknemers in EU;het Ministerie van Sociale Zaken en Werkgelegenheid;SZW
2023-09-04;09:38;Inkomend telefoongesprek;VWS;zorgverzekering;Vraag;Beantwoord;Zorgverzekering;;
2023-09-04;09:38;Inkomend telefoongesprek;VWS;zorgverzekering;Vraag;Beantwoord;Verplichte zorgverzekering afsluiten;;
2023-09-04;09:39;Inkomend telefoongesprek;SZW;kinderbijslag;Vraag;Doorverwezen;Hoe hoog is de kinderbijslag?;;
2023-09-04;09:40;Inkomend telefoongesprek;JENV;scheiden of uit elkaar gaan;Vraag;Beantwoord;Scheiden of uit elkaar: wat moet ik regelen?;;
2023-09-04;09:40;Inkomend telefoongesprek;DEF;defensieterreinen;Vraag;Doorverwezen;Defensieterreinen;;
2023-09-04;09:44;Inkomend telefoongesprek;BZK;paspoort en identiteitskaart;Vraag;Beantwoord;Noodpaspoort aanvragen;;
2023-09-04;09:45;Inkomend telefoongesprek;JENV;rechtspraak en geschiloplossing;Vraag;Beantwoord;Hoe kan ik een klacht indienen over een rechtbank of een rechtbankmedewerker?;;
2023-09-04;09:45;Inkomend telefoongesprek;SZW;ouderschapsverlof;Vraag;Beantwoord;Wanneer heb ik recht op betaald ouderschapsverlof?;;
2023-09-04;09:47;E-mail;SZW;uitkering meenemen naar buitenland;Vraag;Beantwoord;Bouw ik AOW op als ik in het buitenland ga wonen of werken?;;
2023-09-04;09:48;Inkomend telefoongesprek;BUZA;ambassades consulaten en overige vertegenwoordigingen;Vraag;Doorverwezen;Vertegenwoordigingen: Duitsland;;
2023-09-04;09:48;Inkomend telefoongesprek;IENW;voertuigen op de weg;Vraag;Doorgestuurd;Regels voor een gehandicaptenvoertuig met motor;het Ministerie van Infrastructuur en Waterstaat;IENW
2023-09-04;09:48;Inkomend telefoongesprek;BUZA;immigratie naar nederland;Vraag;Doorverwezen;Hoe vraag ik een visum voor Nederland aan?;;
2023-09-04;09:50;Facebook;LNV;dierenwelzijn;Vraag;Beantwoord;Dierenwelzijn;;
2023-09-04;09:50;Inkomend telefoongesprek;BZK;identiteitsfraude;Vraag;Doorverwezen;Aanpak identiteitsfraude;;
2023-09-04;09:52;Inkomend telefoongesprek;DEF;defensiematerieel;Vraag;Beantwoord;Ministerie van Defensie;;
2023-09-04;09:53;Inkomend telefoongesprek;BZK;immigratie naar nederland;Vraag;Beantwoord;Wat moet ik regelen als ik in Nederland kom wonen?;;
2023-09-04;09:53;Inkomend telefoongesprek;EZK;telecommunicatie;Vraag;Doorverwezen;Verdeling frequenties voor telecommunicatie;;
2023-09-04;09:55;WhatsApp;VWS;medicijnen;Vraag;Beantwoord;Wat heb ik nodig als ik mijn medicijnen meeneem op reis?;;
2023-09-04;09:55;Inkomend telefoongesprek;BUZA;vakantie en reizen;Vraag;Beantwoord;Nederlands document legaliseren met een apostille;;
2023-09-04;09:56;Inkomend telefoongesprek;SZW;arbeidsovereenkomst en cao;Vraag;Doorverwezen;Welke contracten zijn er voor oproepkrachten?;;
2023-09-04;09:56;Inkomend telefoongesprek;SZW;immigratie naar nederland;Vraag;Doorverwezen;Moet ik als nieuwkomer inburgeren?;;
2023-09-04;09:56;Inkomend telefoongesprek;EZK;energie thuis;Vraag;Beantwoord;Hoe kan ik een klacht indienen over mijn energieleverancier?;;
2023-09-04;09:58;Inkomend telefoongesprek;VWS;roken;Vraag;Beantwoord;Jongeren ontmoedigen om te beginnen met roken;;
2023-09-04;09:59;Inkomend telefoongesprek;SZW;zwangerschapsverlof en bevallingsverlof;Vraag;Beantwoord;Zwangerschapsverlof en bevallingsverlof;;
2023-09-04;10:01;Inkomend telefoongesprek;JENV;opvang vluchtelingen uit oekraine;Vraag;Beantwoord;Bevriezing beëindiging Richtlijn Tijdelijke Bescherming voor derdelanders uit Oekraïne;;
2023-09-04;10:01;Inkomend telefoongesprek;HC;woning huren;Vraag;Doorverwezen;Wat is de maximale huurverhoging in 2023?;;
2023-09-04;10:01;Inkomend telefoongesprek;SZW;arbeidsomstandigheden;Vraag;Beantwoord;Arbobeleid;;
2023-09-04;10:03;Inkomend telefoongesprek;DUO;immigratie naar nederland;Vraag;Doorverwezen;Moet ik al met mijn inburgering beginnen in het land van herkomst?;;
2023-09-04;10:03;Inkomend telefoongesprek;BZK;privacy en persoonsgegevens;Vraag;Beantwoord;Wanneer moet ik mij in de Basisregistratie Personen (BRP) laten inschrijven als ingezetene?;;
2023-09-04;10:04;Inkomend telefoongesprek;SZW;zwangerschapsverlof en bevallingsverlof;Vraag;Beantwoord;Zwangerschapsverlof en bevallingsverlof;;
2023-09-04;10:04;E-mail;JENV;scheiden of uit elkaar gaan;Vraag;Doorgestuurd;Scheiden of uit elkaar: wat moet ik regelen?;het Ministerie van Justitie en Veiligheid;JENV
2023-09-04;10:07;Inkomend telefoongesprek;FIN;kwaliteit en integriteit overheidsinstanties;Vraag;Doorverwezen;Ministerie van Financiën;;
2023-09-04;10:08;Inkomend telefoongesprek;BZK;bouwregelgeving;Vraag;Doorverwezen;Checken of vergunning nodig is voor (ver)bouwen;;
2023-09-04;10:09;E-mail;BZK;huurwoning zoeken;Vraag;Doorgestuurd;Betere verdeling van betaalbare huurwoningen;het Ministerie van Binnenlandse Zaken en Koninkrijksrelaties;BZK
2023-09-04;10:11;E-mail;SZW;ontslag;Vraag;Beantwoord;Regels ontslagrecht;;
2023-09-04;10:13;Inkomend telefoongesprek;VWS;jeugdhulp;Vraag;Doorverwezen;Wat is het Digitaal Dossier Jeugdgezondheidszorg?;;
2023-09-04;10:13;Inkomend telefoongesprek;JENV;veiligheidsregios en crisisbeheersing;Vraag;Beantwoord;Wat is NL-Alert?;;
2023-09-04;10:13;Inkomend telefoongesprek;IENW;rijbewijs;Vraag;Doorverwezen;Kan ik mijn buitenlandse rijbewijs omwisselen voor een Nederlands rijbewijs?;;
2023-09-04;10:13;Inkomend telefoongesprek;OCW;leerplicht;Vraag;Beantwoord;Leerplicht en kwalificatieplicht;;
2023-09-04;10:15;Inkomend telefoongesprek;JENV;immigratie naar nederland;Vraag;Doorverwezen;Naar Nederland komen voor werk: wat moet ik regelen?;;
2023-09-04;10:16;Inkomend telefoongesprek;SZW;pensioen;Vraag;Beantwoord;Uw pensioen en AOW bekijken;;
2023-09-04;10:16;Inkomend telefoongesprek;SZW;bijstand;Vraag;Beantwoord;Wanneer heb ik recht op algemene bijstand?;;
2023-09-04;10:16;Inkomend telefoongesprek;OCW;leerplicht;Vraag;Beantwoord;Waarom moet ik een startkwalificatie hebben?;;
2023-09-04;10:17;Inkomend telefoongesprek;IENW;bestrijdingsmiddelen;Vraag;Doorverwezen;Hoe kan ik thuis ongedierte bestrijden?;;
2023-09-04;10:20;E-mail;JENV;opvang vluchtelingen uit oekraine;Vraag;Beantwoord;Aankomst, registratie en verblijf van vluchtelingen uit Oekraïne;;
2023-09-04;10:20;Inkomend telefoongesprek;EZK;-;Vraag;Doorverwezen;Ministerie van Economische Zaken en Klimaat (EZK);;
2023-09-04;10:20;Inkomend telefoongesprek;AZ;-;Vraag;Beantwoord;Vragen aan de minister-president;;
2023-09-04;10:22;Inkomend telefoongesprek;VWS;vaccinaties;Vraag;Beantwoord;Vaccinaties;;
2023-09-04;10:23;WhatsApp;LNV;vakantie en reizen;Vraag;Beantwoord;Plantaardige producten vervoeren naar Nederland;;
2023-09-04;10:24;Inkomend telefoongesprek;BUZA;paspoort en identiteitskaart;Vraag;Doorverwezen;Welk reisdocument heb ik nodig als ik naar het buitenland reis?;;
2023-09-04;10:24;Inkomend telefoongesprek;BUZA;immigratie naar nederland;Vraag;Beantwoord;Hoe vraag ik een Schengenvisum aan voor kort verblijf in Nederland?;;
2023-09-04;10:27;Inkomend telefoongesprek;DEF;defensiematerieel;Vraag;Beantwoord;Ministerie van Defensie;;
2023-09-04;10:29;Inkomend telefoongesprek;BZK;privacy en persoonsgegevens;Vraag;Beantwoord;Hoe kom ik aan een burgerservicenummer (BSN)?;;
2023-09-04;10:30;Inkomend telefoongesprek;VWS;kwaliteit van de zorg;Vraag;Doorverwezen;Waar kan ik terecht met een klacht over een arts of zorginstelling?;;
2023-09-04;10:30;Inkomend telefoongesprek;VWS;zorg en ondersteuning thuis;Vraag;Geen actie;Wet maatschappelijke ondersteuning (Wmo);;
2023-09-04;10:30;Inkomend telefoongesprek;JENV;trouwen samenlevingscontract en geregistreerd partnerschap;Vraag;Geen actie;Huwelijksgoederenregister bekijken;;
2023-09-04;10:30;Inkomend telefoongesprek;VWS;vaccinatie tegen het coronavirus;Vraag;Beantwoord;Herhaalprik tegen corona;;
2023-09-04;10:31;Inkomend telefoongesprek;IENW;rijbewijs;Vraag;Beantwoord;Hoe werkt de medische keuring voor een groot rijbewijs?;;
2023-09-04;10:31;Inkomend telefoongesprek;JENV;arbeidsovereenkomst en cao;Vraag;Beantwoord;Hoe vraag ik een Verklaring Omtrent het Gedrag (VOG) aan?;;
2023-09-04;10:32;Inkomend telefoongesprek;BZK;privacy en persoonsgegevens;Vraag;Doorverwezen;Waar vraag ik een uittreksel uit het bevolkingsregister aan?;;
2023-09-04;10:34;Inkomend telefoongesprek;OCW;onderwijs en internationalisering;Vraag;Geen actie;Naar wat voor school kan mijn kind tijdens een tijdelijk verblijf in het buitenland?;;
2023-09-04;10:35;Inkomend telefoongesprek;VWS;geestelijke gezondheidszorg ggz;Vraag;Beantwoord;Geestelijke gezondheidszorg (GGZ);;
2023-09-04;10:35;Inkomend telefoongesprek;DEF;defensieterreinen;Vraag;Doorverwezen;Defensieterreinen;;
2023-09-04;10:36;Inkomend telefoongesprek;VWS;vaccinatie tegen het coronavirus;Vraag;Doorverwezen;Vaccinatie tegen het coronavirus;;
2023-09-04;10:37;WhatsApp;OCW;basisonderwijs;Vraag;Doorverwezen;Kan mijn kind tussen de middag overblijven op de basisschool?;;
2023-09-04;10:37;Inkomend telefoongesprek;BUZA;-;Vraag;Beantwoord;Consulair Dienstencentrum (CDC);;
2023-09-04;10:39;Inkomend telefoongesprek;OCW;leerplicht;Vraag;Doorgestuurd;Wie houdt toezicht op de leerplicht?;het Ministerie van Onderwijs, Cultuur en Wetenschap;OCW
2023-09-04;10:39;WhatsApp;BUZA;luchtvaart;Vraag;Beantwoord;Welke bagage en souvenirs mag ik meenemen op reis?;;
2023-09-04;10:40;E-mail;JENV;rechtspraak en geschiloplossing;Vraag;Doorverwezen;Klacht indienen over een rechtbank of een rechtbankmedewerker;;
2023-09-04;10:40;Inkomend telefoongesprek;VWS;zorgverzekering;Vraag;Beantwoord;Is een zorgverzekering verplicht?;;
2023-09-04;10:44;Inkomend telefoongesprek;JENV;erkenning kind;Vraag;Doorverwezen;In welke situatie kan ik een kind erkennen?;;
2023-09-04;10:45;Inkomend telefoongesprek;OCW;hoger onderwijs;Vraag;Beantwoord;Dienst Uitvoering Onderwijs (DUO) voor studenten en scholieren;;
2023-09-04;10:45;Inkomend telefoongesprek;SZW;inburgeren in nederland;Vraag;Doorgestuurd;Wet inburgering 2021;het Ministerie van Sociale Zaken en Werkgelegenheid;SZW
2023-09-04;10:45;Inkomend telefoongesprek;BZK;woning huren;Vraag;Beantwoord;Hoe zorg ik ervoor dat de verhuurder slecht onderhoud aanpakt?;;
2023-09-04;10:45;WhatsApp;VWS;zorgverzekering;Vraag;Beantwoord;Is een zorgverzekering verplicht?;;
2023-09-04;10:46;WhatsApp;OCW;hoger onderwijs;Vraag;Doorverwezen;Hoeveel studiefinanciering kan ik krijgen nu de basisbeurs weer is ingevoerd?;;
2023-09-04;10:47;Inkomend telefoongesprek;BZK;leefbaarheid;Vraag;Doorverwezen;Wat moet ik doen bij burenoverlast?;;
2023-09-04;10:48;Inkomend telefoongesprek;BZK;privacy en persoonsgegevens;Vraag;Doorverwezen;Burgerservicenummer (BSN);;
2023-09-04;10:50;Inkomend telefoongesprek;OCW;-;Vraag;Doorverwezen;Inspectie van het Onderwijs (Onderwijsinspectie);;
2023-09-04;10:50;E-mail;FIN;huis kopen;Vraag;Doorverwezen;Wanneer krijg ik vrijstelling van overdrachtsbelasting?;;
2023-09-04;10:52;Inkomend telefoongesprek;VWS;zorg en ondersteuning thuis;Vraag;Beantwoord;Hoe krijg ik ondersteuning van de gemeente vanuit de Wmo?;;
2023-09-04;10:53;Inkomend telefoongesprek;OCW;hoger onderwijs;Vraag;Beantwoord;Dienst Uitvoering Onderwijs (DUO) voor studenten en scholieren;;
2023-09-04;10:59;Inkomend telefoongesprek;RVB;rijksoverheid;Vraag;Beantwoord;Rijksvastgoedbedrijf;;
2023-09-04;11:00;E-mail;FIN;koopkracht;Mening;Doorgestuurd;Koopkracht;het Ministerie van Financiën;FIN
2023-09-04;11:00;Inkomend telefoongesprek;VWS;vaccinatie tegen het coronavirus;Vraag;Beantwoord;Herhaalprik tegen corona;;
2023-09-04;11:01;Inkomend telefoongesprek;LNV;dierenwelzijn;Vraag;Doorverwezen;Dierenwelzijn huis- en hobbydieren;;
2023-09-04;11:02;E-mail;BZK;omgevingswet;Vraag;Doorverwezen;Wanneer moet ik een Omgevingsvergunning aanvragen?;;
2023-09-04;11:03;Inkomend telefoongesprek;JENV;politie;Vraag;Beantwoord;Aangifte doen bij de politie;;
2023-09-04;11:04;Inkomend telefoongesprek;JENV;nederlandse nationaliteit;Vraag;Beantwoord;Krijgt mijn kind bij de geboorte automatisch de Nederlandse nationaliteit?;;
2023-09-04;11:04;WhatsApp;BZK;gemeenten;Vraag;Doorverwezen;Hoe kan ik mijn verhuizing doorgeven aan de gemeente?;;
2023-09-04;11:05;WhatsApp;FIN;belasting op auto en motor;Vraag;Beantwoord;Motorrijtuigenbelasting (wegenbelasting);;
2023-09-04;11:06;E-mail;FIN;belasting op auto en motor;Mening;Doorgestuurd;Plannen kabinet met betalen naar gebruik;het Ministerie van Financiën;FIN
2023-09-04;11:06;Inkomend telefoongesprek;BUZA;internationaal ondernemen;Vraag;Beantwoord;Ondernemen in het buitenland;;
2023-09-04;11:07;Inkomend telefoongesprek;IENW;luchtvaart;Vraag;Doorverwezen;Wat zijn mijn rechten bij vertraging, annulering of overboeking van een vlucht?;;
2023-09-04;11:07;Inkomend telefoongesprek;SZW;kinderbijslag;Vraag;Doorverwezen;Sociale Verzekeringsbank (SVB);;
2023-09-04;11:09;Inkomend telefoongesprek;BUZA;kwaliteit en integriteit overheidsinstanties;Vraag;Beantwoord;Ministerie van Buitenlandse Zaken (BZ);;
2023-09-04;11:10;Inkomend telefoongesprek;OCW;leerplicht;Vraag;Doorverwezen;Leerplicht;;
2023-09-04;11:10;E-mail;SZW;koopkracht;Mening;Doorgestuurd;Hoe vraag ik de eenmalige energietoeslag 2023 aan?;het Ministerie van Sociale Zaken en Werkgelegenheid;SZW
2023-09-04;11:10;Inkomend telefoongesprek;BUZA;vakantie en reizen;Vraag;Beantwoord;Buitenlands document legaliseren voor gebruik in Nederland;;
2023-09-04;11:11;Inkomend telefoongesprek;HC;woning huren;Vraag;Beantwoord;Welke kosten zijn voor de huurder en welke voor de verhuurder?;;
2023-09-04;11:12;Inkomend telefoongesprek;BZK;energie thuis;Vraag;Beantwoord;Hoe kan ik mijn huis ventileren?;;
2023-09-04;11:12;E-mail;IENW;rijbewijs;Vraag;Beantwoord;Rijbewijs: eisen aan bestuurders;;
2023-09-04;11:12;Inkomend telefoongesprek;IENW;geluidsoverlast;Vraag;Beantwoord;Geluidsoverlast in de wet: regels en normen;;
2023-09-04;11:13;E-mail;SZW;opvang vluchtelingen uit oekraine;Vraag;Onduidelijke vraag -> Terugbellen;Werk en inkomen voor vluchtelingen uit Oekraïne;;
2023-09-04;11:13;Inkomend telefoongesprek;IENW;opvang vluchtelingen uit oekraine;Vraag;Beantwoord;Aankomst, registratie en verblijf van vluchtelingen uit Oekraïne;;
2023-09-04;11:14;WhatsApp;JENV;immigratie naar nederland;Vraag;Doorverwezen;Naar Nederland komen voor partner: wat moet ik regelen?;;
2023-09-04;11:16;Inkomend telefoongesprek;IENW;-;Vraag;Beantwoord;Uitnodigen bewindspersoon ministerie van Infrastructuur en Waterstaat;;
2023-09-04;11:16;Inkomend telefoongesprek;BZK;privacy en persoonsgegevens;Vraag;Doorgestuurd;Waar vraag ik een uittreksel uit het bevolkingsregister aan?;het Ministerie van Sociale Zaken en Werkgelegenheid;SZW
2023-09-04;11:18;Inkomend telefoongesprek;SZW;pensioen;Vraag;Beantwoord;Hoe kan ik mijn pensioen aanvragen?;;
2023-09-04;11:18;Inkomend telefoongesprek;OCW;middelbaar beroepsonderwijs mbo;Geen Rijksoverheid;Geen actie;Zijn er subsidies en fiscale regelingen voor het combineren van werken en leren?;;
2023-09-04;11:20;Inkomend telefoongesprek;SZW;uitkering meenemen naar buitenland;Vraag;Beantwoord;Wat moet ik regelen als ik ga emigreren?;;
2023-09-04;11:22;WhatsApp;SZW;immigratie naar nederland;Vraag;Beantwoord;Moet ik al met mijn inburgering beginnen in het land van herkomst?;;
2023-09-04;11:22;Inkomend telefoongesprek;OCW;hoger onderwijs;Vraag;Beantwoord;Financiële ondersteuning aanvragen bij studievertraging hoger onderwijs (Profileringsfonds);;
2023-09-04;11:22;Inkomend telefoongesprek;VWS;vaccinaties;Vraag;Beantwoord;Moet ik mijn kind verplicht laten vaccineren?;;
2023-09-04;11:23;Inkomend telefoongesprek;FIN;woning huren;Vraag;Doorverwezen;Kan ik huurtoeslag krijgen?;;
2023-09-04;11:26;E-mail;SZW;koopkracht;Vraag;Beantwoord;Hoe vraag ik de eenmalige energietoeslag 2023 aan?;;
2023-09-04;11:26;Inkomend telefoongesprek;JENV;ouderlijk gezag en voogdij;Vraag;Beantwoord;Uittreksel uit gezagsregister aanvragen;;
2023-09-04;11:27;E-mail;VWS;eerstelijnszorg;Vraag;Doorverwezen;Hoe verander ik van huisarts?;;
2023-09-04;11:28;Inkomend telefoongesprek;DEF;-;Vraag;Doorverwezen;Nederlands Instituut voor Militaire Historie (NIMH);;
2023-09-04;11:28;Inkomend telefoongesprek;HC;woning huren;Vraag;Beantwoord;Hoe zorg ik ervoor dat de verhuurder slecht onderhoud aanpakt?;;
2023-09-04;11:30;WhatsApp;SZW;ouderschapsverlof;Vraag;Beantwoord;Wanneer heb ik recht op ouderschapsverlof?;;
2023-09-04;11:31;Inkomend telefoongesprek;BZK;privacy en persoonsgegevens;Vraag;Beantwoord;Waar vraag ik een uittreksel uit het bevolkingsregister aan?;;
2023-09-04;11:31;WhatsApp;FIN;aanpak belastingontwijking en belastingontduiking;Vraag;Beantwoord;Kabinet wil aanvullende maatregelen om dividendstripping beter aan te pakken;;
2023-09-04;11:31;Inkomend telefoongesprek;JENV;immigratie naar nederland;Vraag;Doorverwezen;Naar Nederland komen voor partner: wat moet ik regelen?;;
2023-09-04;11:32;Inkomend telefoongesprek;VWS;coronavirus covid-19;Vraag;Doorgestuurd;Instructie aanvragen zelftesten en mondkapjes-pakket;het Ministerie van Volksgezondheid, Welzijn en Sport;VWS
2023-09-04;11:32;WhatsApp;JENV;scheiden of uit elkaar gaan;Vraag;Beantwoord;Heb ik recht op omgang met mijn kind na een scheiding?;;
2023-09-04;11:33;Inkomend telefoongesprek;BZK;identiteitsfraude;Vraag;Doorverwezen;Aanpak identiteitsfraude;;
